"","Clearwater","Clearwater.T","Snake","Snake.T","Columbia","Columbia.T","NFClearwater","NFClearwater.T","Potlatch","Potlatch.T","Tucannon","Tucannon.T","Palouse","Palouse.T","Okanogan","Okanogan.T","Methow","Methow.T","Chelan","Chelan.T","Wenatchee","Wenatchee.T","Crab","Crab.T","Yakima","Yakima.T","WallaWalla","WallaWalla.T","JohnDay","JohnDay.T","Deschutes","Deschutes.T"
"79",16600,6.5,31300,8.4,147820.83,4.87,1462.5,4.73,62.2,33,178,11.96,912,8.09,3580,7.9,2440,8.27,2450,14.17,4340,9.07,105,11.53,6020,12.07,392,12.82,3430,14.53,6320,10.3
"80",15900,6.5,31000,8.6,129166.67,4.95,1450,4.83,62.2,33,177,11.49,781,8.72,3570,8.3,2520,8.27,2450,14.17,4240,9.07,102,11.53,5790,12.69,374,13.45,3190,13.86,6170,10.4
"81",15900,6.5,29400,8.6,136841.67,4.92,1437.5,4.77,62.2,33,175,9.17,694,5.87,3790,8.3,2610,9.02,2450,14.78,4340,9.85,95,12.36,5580,9.7,358,10.39,2980,10.58,6080,10.6
"82",15900,6.5,30300,8.6,132012.5,4.98,1441.67,4.82,62.2,33,183,8.72,655,6.38,4110,8,2590,5.61,2450,11.7,4160,6.28,95,8.4,5420,10.27,369,10.98,2870,9.97,6070,10.7
"83",17700,6,31000,8.5,122925,5.03,1420.83,4.71,62.2,33,194,8.28,740,7.48,4300,8.2,2520,7.55,1470,13.55,3970,8.32,93,10.71,5060,11.46,503,12.2,2900,9.37,6100,10.7
"84",17900,5.5,29700,7.7,127675,5.05,5262.5,4.7,62.2,33,200,8.72,2220,10.08,4320,8.1,2430,8.52,1060,14.38,3760,9.33,115,11.8,4890,13.95,945,14.73,3400,9.97,6130,10.9
"85",16500,6.5,30000,8.1,134958.33,5.08,9616.67,4.67,62.2,33,201,12.89,2910,13.06,4300,8.1,2380,9.54,1120,15.19,3900,10.38,127,12.92,4730,16.45,1170,17.26,3680,15.89,6170,11.4
"86",16200,7.5,29300,9.2,135304.17,5.18,10900,4.72,62.2,33,213,15.48,2210,16.16,4240,8.3,2490,12.19,1290,17.13,4110,13.08,159,15.69,4760,18.81,1240,19.64,3580,19.75,6100,12.7
"87",17400,8,30500,10,122337.5,5.22,12041.67,4.71,62.2,33,236,11.02,1850,11.54,4500,8.8,2820,11.92,1290,16.95,4520,12.81,165,15.42,5110,15.21,1290,16.01,3620,13.18,6050,12.6
"88",18700,7,31000,9.7,141150,5.24,12058.33,4.72,62.2,33,247,11.96,2250,12.29,5070,9.4,3130,10.86,1290,16.18,4970,11.73,175,14.32,5350,15.83,1380,16.64,3560,14.53,6130,12.1
