"","13340000","13334300","12447200","14103000","13341000"
"282",15,18.3,15,15.4,9.825
"283",15.5,18.4,15.2,15.4,9.728125
"284",15.5,18.1,14.7,15,9.21875
"285",15,17.6,14.6,14.5,9.571875
"286",15,17.3,14.6,14.3,9.965625
"287",14.5,17.2,14.1,14.3,9.859375
"288",14,17.1,13.3,13.9,9.78229166666667
"289",13.5,17,12.8,13.6,9.72083333333333
"290",13,16.8,12.7,13.7,9.76770833333333
"291",13,16.7,12.8,14.2,9.71666666666667
"292",13,16.7,13.3,14.3,9.684375
"293",12.5,16.6,13.5,13.8,9.6125
"294",12.5,16.2,12.9,13.3,9.68125
"295",12,15.8,12.4,13.2,9.79895833333333
"296",11,15.4,11.6,12.7,9.7625
"297",11,15.1,10.7,12.2,9.81875
"298",10.5,14.9,10,11.8,9.975
"299",10,14.9,10.5,12,9.659375
"300",10.5,14.9,10.3,12.1,9.64375
"301",10.5,14.5,10.2,11.9,9.88645833333333
"302",10.5,14.4,10.5,12.5,9.69895833333333
"303",9.5,14.2,10.8,13,9.60208333333333
"304",9.5,14,11.2,13.7,9.5625
"305",10,13.9,10.4,13,9.57
"306",9,13.5,10.2,11.9,9.715625
"307",9,12.8,9.4,11,9.75520833333333
"308",8,12.2,7.8,10.1,9.32291666666667
"309",7,11.7,7.2,10.3,9.35729166666667
"310",6.5,11.5,6.6,11,9.59895833333333
"311",6.5,11.5,7.2,11,10.0177083333333
"312",6,11.5,7.9,11.2,10.228125
"313",5.5,11.4,8.1,11.2,9.91666666666667
"314",5.5,11.3,6.9,10.2,9.178125
"315",5,10.7,6.7,10,9.17916666666667
"316",5,10.2,5.8,9.9,9.30104166666667
"317",5.5,10.2,6.2,10.7,9.875
"318",6,10.4,6.9,11.6,10.2333333333333
"319",6,10.2,7.2,10.6,10.1416666666667
"320",5.5,9.9,5.9,9.2,9.48541666666667
"321",5,9.7,5.4,10,9.18958333333333
"322",5,9.2,5,10,8.90833333333333
"323",4,8.9,4.5,9.5,8.58541666666667
"324",3.5,8.8,3.4,9.1,9.18958333333333
"325",2.5,8,2.2,8.5,9.2
"326",1,7.4,1.9,7.8,9.2
"327",0.5,7.3,1.8,7.5,9.3375
"328",0.5,7.3,2,7.8,9.44166666666667
"329",0.5,7.4,0.8,7.5,9.221875
"330",0,6.6,0.3,6.5,9.215625
"331",0,5.7,0.3,5.8,8.78229166666667
"332",0,5.5,0.3,5.3,8.50416666666667
"333",0,5.5,0.3,4.8,8.34583333333333
"334",0,5.5,0.3,5.4,8.07708333333333
"335",0,5.4,0.3,5.2,8.36145833333333
"336",0,5.4,0.3,5.2,8.81145833333333
"337",0,5.1,0.3,6.1,8.89791666666667
"338",0,5.3,0.3,6.7,8.97916666666667
"339",0,5.2,0.3,7.2,8.65208333333333
"340",0,5.3,0.3,7.6,8.81666666666667
"341",0,5.6,1.4,8.7,8.84895833333333
"342",0.5,5.9,2.3,9.5,8.5875
"343",1,6.5,2.8,9.8,8.475
"344",1.5,6.2,3,8.7,7.87291666666667
"345",2,5.5,3.1,7.6,7.85416666666667
"346",2.5,5.5,2.8,7.5,7.9
"347",2.5,5.6,2.2,7.7,7.81770833333333
"348",2.5,5.7,2.1,7.2,7.49583333333333
"349",2.5,5.7,1.6,6.5,7.30520833333333
"350",2.5,5.5,1.6,6.6,7.06354166666667
"351",1,4.7,0.9,6.4,6.69583333333333
"352",0.5,4.7,0.7,6.1,7.07395833333333
"353",1,4.9,0.9,6.5,7.40520833333333
"354",1,5.2,0.8,6.2,7.03645833333333
"355",1,5,0.4,6.5,6.765625
"356",1.5,4.7,0.6,6.7,6.80625
"357",1.5,4.7,0.9,6.7,6.51666666666667
"358",1.5,4.7,1.1,6.4,6.3625
"359",1,4.5,0.7,6,6.2875
"360",1.5,4.3,0.3,5.5,6.315625
"361",1,3.8,0.3,5.6,6.290625
"362",0.5,3.7,0.4,6,6.434375
"363",0,3.7,0.3,6.2,6.39895833333333
"364",0,3.9,0.3,6,6.13333333333333
"365",0,3.5,0.4,5.1,5.86666666666667
