"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"64",5720,22500,159,390,2570,1160,2400,2360,111,4590,519,1830,5560
"65",5790,21600,157,366,2440,1150,2450,2290,112,4490,485,1670,5650
"66",5730,22000,154,350,2460,1140,2450,2250,124,4430,446,1530,5660
"67",5590,20000,152,358,2490,1150,2450,2240,124,4370,419,1620,5710
"68",5470,20200,149,349,2450,1180,2450,2250,129,4320,401,1610,5700
"69",5450,20200,148,340,2410,1230,2450,2290,121,4270,356,1590,5680
"70",5550,19800,146,331,2410,1310,1870,2350,114,4190,322,1570,5620
"71",5840,21200,147,324,2390,1420,1930,2490,103,4150,304,1550,5380
"72",6440,22100,146,316,2390,1560,2450,2760,95,4140,303,1550,5420
"73",6810,22400,145,312,2540,1730,2450,3120,88,4160,290,1640,5610
"74",9550,20300,164,333,2820,2380,2450,5530,90,4260,324,1730,5780
"75",17700,25100,185,371,3330,2680,2450,6160,99,5670,448,1780,6120
"76",18400,29700,183,749,4000,2560,2450,5530,98,8010,450,2620,6410
"77",19100,31300,187,744,3780,2480,2450,5010,102,7270,454,3290,6290
"78",18400,33200,181,748,3650,2440,2450,4630,106,6590,415,3370,6200
"79",16600,31300,178,912,3580,2440,2450,4340,105,6020,392,3430,6320
"80",15900,31000,177,781,3570,2520,2450,4240,102,5790,374,3190,6170
"81",15900,29400,175,694,3790,2610,2450,4340,95,5580,358,2980,6080
"82",15900,30300,183,655,4110,2590,2450,4160,95,5420,369,2870,6070
"83",17700,31000,194,740,4300,2520,1470,3970,93,5060,503,2900,6100
"84",17900,29700,200,2220,4320,2430,1060,3760,115,4890,945,3400,6130
"85",16500,30000,201,2910,4300,2380,1120,3900,127,4730,1170,3680,6170
"86",16200,29300,213,2210,4240,2490,1290,4110,159,4760,1240,3580,6100
"87",17400,30500,236,1850,4500,2820,1290,4520,165,5110,1290,3620,6050
"88",18700,31000,247,2250,5070,3130,1290,4970,175,5350,1380,3560,6130
"89",17200,32500,249,2060,5780,3240,1290,4820,191,5560,1200,3910,6220
"90",17300,31900,250,1650,6030,3480,1290,4780,194,5750,1050,3840,6080
"91",18200,33000,243,1390,6740,3540,1700,4670,189,5700,921,3670,6030
"92",17300,34700,234,1210,6800,3380,2490,4350,194,5400,780,3630,5910
"93",16100,33200,223,1050,6460,3210,2490,4050,196,5130,669,3610,5870
"94",15200,31800,215,938,6030,3050,2490,3800,199,4650,605,3360,5830
"95",14400,31000,207,854,5640,2900,2490,3560,209,4390,568,3140,5820
"96",13800,30800,212,819,5360,2770,2490,3310,221,4150,571,3030,5860
"97",13100,28700,203,791,5100,2640,2490,3110,236,3950,576,2940,5740
"98",12300,28300,193,832,4870,2520,2490,2950,248,3660,514,3010,5660
"99",11900,28200,186,770,4620,2400,2490,2810,252,3320,478,2920,5470
"100",11600,28400,185,693,4450,2340,2490,2700,255,3080,461,2810,5190
"101",11400,25900,184,642,4330,2300,2490,2650,249,2690,436,2790,5010
"102",12100,26000,186,610,4220,2220,2490,2660,259,2500,462,2650,4880
"103",11200,25500,177,592,4150,2120,2490,2560,267,2390,433,2540,4840
"104",11100,24200,180,567,3950,2050,2460,2470,255,2240,417,2500,4740
"105",11300,25000,175,559,3710,1970,2450,2340,246,2080,464,2370,4710
"106",10500,24500,167,549,3600,1920,2450,2250,233,1870,446,2320,4700
"107",10300,23800,164,526,3490,1960,1680,2230,211,1760,436,2320,4630
"108",10600,23100,160,492,3460,2100,1700,2350,203,1760,408,2180,4550
"109",11300,23800,156,467,3590,2270,2450,2480,193,1650,388,2080,4540
"110",12000,24700,155,444,3770,2550,2450,2670,199,1630,355,2000,4530
"111",13000,26100,151,424,3880,3070,2180,3050,205,1600,308,1920,4510
"112",14600,28000,146,403,4240,3740,2450,3490,212,1480,289,1840,4480
"113",15200,29500,145,387,4840,3920,2450,3510,212,1370,270,1810,4460
"114",15500,30900,147,372,5190,3690,2460,3340,210,1420,272,1820,4440
"115",15100,32200,146,363,5040,3410,2480,3130,215,1420,272,1820,4440
"116",14000,31500,145,351,4880,3150,2470,2890,223,1510,251,1840,4490
"117",13200,30300,139,343,4690,2990,2470,2710,218,1560,234,1830,4720
"118",12500,29100,132,332,4530,2950,2470,2750,215,1420,197,1730,4770
"119",13200,28500,130,316,4610,3210,2480,3020,189,1250,184,1590,4540
"120",13900,29600,132,301,5110,3360,2470,3070,167,1300,170,1460,4440
"121",14300,31000,127,282,5430,3320,917,3050,157,1390,160,1390,4450
"122",15000,32200,120,271,5300,3410,948,3190,152,1300,145,1370,4530
"123",16000,33800,120,262,5270,3470,108,3270,161,1190,131,1330,4540
"124",16700,35300,120,252,5270,3580,955,3350,175,1180,125,1290,4570
"125",17800,36700,113,241,5250,3820,961,3570,172,1250,97,1240,4590
"126",18300,38100,112,232,5430,3750,934,3530,176,1270,88,1190,4610
"127",17400,38400,113,225,5600,3500,703,3260,174,1490,83,1160,4600
"128",16400,36900,111,215,5490,3390,947,3080,178,2280,84,1150,4530
"129",15800,35400,108,204,5440,3420,959,3060,165,2180,84,1130,4390
"130",15700,34600,105,195,5520,3590,112,3240,162,1680,89,1090,4330
"131",15600,34100,105,190,5680,3970,107,3550,167,1370,97,1030,4360
"132",15400,33700,106,186,5960,4450,110,4140,171,1310,85,984,4590
"133",17400,34600,128,186,6630,4490,119,4430,190,1760,183,951,4710
"134",19000,36800,129,200,6930,4370,2480,4550,222,2410,286,949,4830
"135",18400,34800,120,277,6930,4330,2490,4360,234,2930,204,1100,4810
"136",21200,36200,116,273,6930,4360,2490,4320,232,2550,173,1580,4790
"137",23400,41600,115,243,7050,5150,2490,4560,234,2180,162,1460,4750
"138",20900,42800,114,240,7960,6300,2500,4680,238,1940,156,1780,4640
"139",19100,41600,105,349,8730,6040,2480,4970,236,1830,138,2080,4610
"140",19000,42700,100,328,8670,6080,2460,5210,213,1600,133,1990,4600
"141",19100,42700,102,270,8670,6370,2450,5540,189,1350,128,2200,4740
"142",19500,43200,122,242,9030,6420,2440,5600,186,1170,153,2510,4920
"143",19700,44000,111,234,9210,6500,2440,5730,187,1270,157,3460,5270
"144",19500,45400,108,251,9210,6710,2440,5840,201,1460,155,4250,5300
"145",18400,44500,103,270,9270,6620,2440,5660,216,1530,141,5440,5180
"146",17700,43600,104,311,9290,6060,2440,5110,193,1590,115,4860,4920
"147",16600,45000,109,294,9040,5540,2450,4570,185,1410,103,4090,4870
"148",16300,47500,103,278,8840,5320,2300,4450,199,1160,96,3490,4810
"149",15500,44200,98,249,8560,5590,2450,4790,179,1180,94,3000,4580
"150",15200,43600,97,231,8470,5820,2450,5270,180,1140,90,2660,4580
"151",15000,42900,93,210,8360,5720,2450,5120,184,1120,90,2320,4550
"152",15200,45800,102,197,8090,5090,2430,4590,183,1180,92,2160,4560
"153",15700,45500,110,190,7620,4960,2430,4310,174,1240,113,2140,4570
"154",16800,45900,112,179,7750,4790,2460,4040,183,1350,117,2000,4570
"155",14200,43900,102,173,7920,4200,2440,3640,183,1430,98,2130,4600
"156",12500,38800,95,215,7590,3820,2410,3380,161,1180,79,2600,4760
"157",11800,35900,88,215,7260,3670,2370,3360,148,928,63,2280,4640
"158",11500,36900,84,179,6710,3780,131,3580,138,820,53,1970,4560
"159",11100,37200,82,156,6260,3840,1640,3810,152,776,53,1740,4390
"160",10700,37100,78,140,5930,3690,1850,3820,120,791,51,1550,4380
"161",10300,34700,77,122,5560,3420,2400,3580,105,783,39,1360,4410
"162",9620,33500,75,111,5130,3090,2410,3260,98,701,33,1210,4560
"163",8540,32600,72,103,4750,2860,2400,3000,109,689,28,1070,4570
"164",7770,29400,70,94,4260,2610,2400,2680,120,664,24,983,4490
"165",7060,27200,70,89,3930,2330,2400,2330,135,677,24,903,4410
"166",6430,26400,70,86,3690,2100,2390,2090,131,830,34,829,4420
"167",5970,24600,66,82,3480,1930,1670,1950,125,826,31,763,4530
"168",5640,23300,64,84,3330,1850,931,1920,115,787,24,691,4510
"169",5380,22100,61,73,3170,1790,919,1880,140,740,22,634,4470
"170",5090,21900,61,66,2960,1720,934,1820,120,701,20,575,4370
"171",4830,21400,61,60,2820,1620,939,1720,123,682,19,523,4380
"172",4590,20800,63,56,2670,1540,529,1620,123,713,21,477,4370
"173",4330,20300,64,54,2600,1440,1660,1510,128,724,24,449,4390
"174",4100,20100,61,54,2400,1360,1610,1420,137,709,23,428,4390
"175",3890,20200,60,49,2220,1300,1090,1370,137,710,18,395,4390
"176",3710,18800,60,44,2130,1240,1050,1350,145,620,15,380,4450
"177",3540,17800,57,41,2090,1200,1860,1360,157,666,14,359,4440
"178",3380,19900,55,39,2030,1180,2460,1420,150,746,11,338,4440
"179",3220,18700,52,38,1990,1160,2470,1490,130,790,11,315,4450
"180",3070,18300,51,35,1950,1150,3560,1590,129,820,11,292,4460
"181",2940,18300,50,36,1920,1190,3270,1710,128,843,18,283,4450
"182",2870,19000,48,32,1930,1140,2790,1630,141,805,16,260,4470
"183",2730,17400,46,33,1870,1060,2550,1500,140,735,13,244,4480
"184",2560,16700,45,30,1650,987,2460,1400,122,650,13,239,4460
"185",2430,16200,42,27,1530,922,2470,1310,105,631,15,227,4430
"186",2330,16500,42,27,1440,871,152,1230,105,598,13,214,4420
"187",2230,15400,42,27,1380,823,1680,1150,116,612,14,198,4430
"188",2160,16100,43,26,1310,781,1570,1080,114,617,11,183,4480
"189",2110,18000,44,24,1230,753,3120,1030,114,569,11,179,4470
"190",2100,16700,43,24,1140,719,2670,975,103,588,7.8,171,4460
"191",2020,15900,44,22,1090,685,2470,940,95,626,4.8,158,4540
"192",2080,14700,54,20,1060,672,2470,909,87,664,2.3,143,4570
"193",2640,15700,56,17,1060,709,118,871,85,735,1.4,132,4600
"194",2830,17500,54,16,1050,741,919,812,91,782,21,124,4700
"195",2570,15100,56,16,1160,695,865,762,105,791,20,122,4780
"196",2470,16600,52,17,1230,654,905,711,104,749,15,125,4750
"197",2220,17500,50,20,1120,614,1710,671,123,659,10,172,4690
"198",2030,17200,51,19,1030,585,1690,636,120,631,8.4,293,4590
"199",1900,18000,51,20,980,558,1660,599,122,598,8.1,304,4560
"200",1820,18600,49,21,920,529,124,571,117,579,11,291,4520
"201",1750,17700,47,18,884,507,1680,562,120,560,9.7,254,4460
"202",1680,18000,44,16,853,485,1710,564,103,574,6.5,231,4360
"203",1600,20700,45,17,824,475,1710,559,93,593,1.5,202,4370
"204",1550,19300,47,17,788,459,1710,533,93,617,0.86,183,4320
"205",1570,19300,45,18,733,447,1720,504,103,617,0.5,163,4200
"206",1700,17000,48,18,710,430,1710,484,121,635,0,141,4160
"207",1620,17400,50,17,713,421,110,487,117,659,0.51,121,4120
"208",1530,16200,50,16,712,413,1710,488,134,739,1.5,113,4120
"209",1580,15300,49,16,696,407,1700,464,135,763,1.1,105,4090
"210",1880,17400,50,14,688,394,665,450,133,678,16,96,4190
"211",1750,19000,46,13,682,377,576,453,127,612,9.6,90,4220
"212",1550,21500,43,10,651,360,668,445,120,607,6.5,90,4190
"213",1440,19400,42,8.1,601,345,474,430,115,635,1.6,81,4180
"214",1360,19700,44,7.7,613,334,110,419,115,626,0.17,73,4200
"215",1300,19700,45,10,606,324,396,424,116,626,0.03,62,4230
"216",1250,17700,48,9.2,580,315,462,418,109,635,1.8,55,4230
"217",1240,17100,44,8.1,561,310,596,411,116,664,0.9,51,4110
"218",1260,15600,48,8,541,304,501,402,128,612,0.05,49,4080
"219",1360,13000,48,11,534,302,501,396,141,602,0.86,49,4070
"220",1300,12600,47,11,517,299,504,400,148,664,0.27,45,4020
"221",1220,12400,48,9.8,518,296,110,394,151,725,1.8,41,4040
"222",1190,12200,51,10,517,291,494,388,153,805,2.5,40,4090
"223",1210,12600,55,9.9,514,285,528,385,147,867,7,37,4140
"224",1190,13800,52,10,496,281,497,390,148,876,15,32,4150
"225",1170,14800,49,9.2,476,276,488,394,156,834,15,30,4150
"226",1130,13300,46,6.8,477,268,666,397,143,744,5,27,4210
"227",1080,13900,45,6.3,483,261,475,416,131,758,1.1,28,4220
"228",1050,12200,47,6.9,505,272,110,413,148,829,1.8,29,4240
"229",1020,12000,49,6.4,518,273,433,395,160,853,0.45,28,4210
"230",1020,12000,48,6,647,262,475,380,169,782,7.2,27,4150
"231",1010,12500,45,5.8,694,250,816,355,174,749,5.2,26,4150
"232",998,12000,44,5.3,621,242,965,354,186,730,4,22,4100
"233",982,11900,44,4.6,551,230,1240,354,183,744,0.97,19,4010
"234",961,11900,47,4.5,541,234,1240,348,181,768,0.21,19,4030
"235",942,12000,49,4,526,242,1240,328,180,815,0,20,4010
"236",955,12000,49,4.2,526,241,1240,318,186,871,0.07,20,4000
"237",957,11600,49,3.8,538,238,1250,307,199,909,10,21,3940
"238",947,12100,48,4,545,239,1240,297,204,919,11,23,3920
"239",938,12300,45,4.1,540,239,1240,300,204,862,22,22,3960
"240",920,12200,44,5.6,525,237,878,300,205,862,11,20,4170
"241",907,12000,46,5.7,525,236,872,314,205,951,6.2,18,4150
"242",918,12100,52,6.6,548,243,107,354,216,1300,5.5,18,4070
"243",1030,12000,56,8.1,558,253,788,508,227,2000,9.3,17,4090
"244",1140,12200,53,7.6,579,266,870,567,235,2030,33,19,4080
"245",1090,12000,52,7.4,551,280,880,607,231,1550,24,20,4060
"246",1030,12000,54,7.9,602,276,1240,678,221,1250,16,21,4030
"247",1090,12100,55,9.3,668,271,1230,661,214,1130,15,23,4030
"248",1290,12200,65,12,690,273,1240,599,220,1030,24,24,4060
"249",1630,12400,78,20,729,269,1240,573,220,997,88,23,4050
"250",1900,12800,75,20,707,266,1240,574,232,980,91,22,4060
"251",1570,13000,70,20,672,264,1240,547,239,949,61,22,4040
"252",1330,13200,66,19,650,265,1240,494,240,878,46,26,4010
"253",1190,13100,60,17,619,259,1230,440,237,786,29,29,3990
"254",1110,13000,56,18,628,252,1240,419,235,700,21,33,3990
"255",1060,13100,56,18,623,250,1240,405,234,660,17,33,3980
"256",1020,13000,54,15,617,240,1240,394,235,659,15,90,3980
"257",992,13700,54,15,587,235,1240,397,244,658,13,82,3950
"258",998,13900,57,15,575,241,1270,393,249,725,12,71,4000
"259",1220,12800,57,14,567,249,1270,363,253,819,15,63,4110
"260",1450,14000,61,22,570,252,1240,356,251,815,15,61,4160
"261",1490,14900,63,23,562,256,1240,370,253,804,18,55,4190
